20,30
6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,6,8,8,8,8,8,6,6,6,6,6,6,6,6,6,6,8
8,8,8,6,8,8,8,8,8,6,6,6,6,6,6,6,6,6,6,8
8,8,8,6,8,8,8,8,8,6,6,8,8,8,8,8,8,8,8,8
8,8,8,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,6,6,8,8,8,8,8,8,8,8,8
8,8,8,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8
8,8,8,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8
8,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,8,8,8
8,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,8,8,8
8,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,8,8,8
8,6,8,8,8,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8
8,6,8,8,8,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8
8,6,8,8,8,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8
8,6,8,8,8,6,6,8,8,8,8,8,8,8,6,8,8,8,8,8
8,6,6,6,6,6,6,8,8,8,8,8,8,8,6,8,8,8,8,8
8,8,8,8,8,6,6,8,8,8,8,8,8,8,6,8,8,8,8,8
8,8,8,8,8,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,8,8,8,8,8
8,8,8,8,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8
8,8,8,8,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8
8,8,8,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,8
